datetime,open,high,low,close,average,sma10,sma20,sma50,ema10,ema20,ema50
2003-04-22 00:00:00,1.0987,1.1305,1.0933,1.1292,1.1119,1.08428,1.07201,1.01713,1.08679,1.07391,1.01899
2003-04-29 00:00:00,1.1291,1.1626,1.1277,1.1563,1.14515,1.09106,1.07795,1.0216,1.09599,1.08116,1.02401
2003-05-06 00:00:00,1.1562,1.1741,1.137,1.1655,1.15555,1.09744,1.08408,1.02609,1.10272,1.08748,1.02863
2003-05-13 00:00:00,1.1643,1.188,1.161,1.1875,1.1745,1.10601,1.0907,1.03075,1.11224,1.09469,1.03357
2003-05-20 00:00:00,1.1864,1.1934,1.1653,1.1765,1.17935,1.11721,1.0973,1.03541,1.12286,1.10121,1.03824
2003-05-27 00:00:00,1.176,1.1891,1.1628,1.1714,1.17595,1.12733,1.10314,1.03968,1.13175,1.10661,1.04235
2003-06-03 00:00:00,1.1719,1.1934,1.1661,1.1826,1.17975,1.13773,1.10842,1.04362,1.14155,1.11181,1.04629
2003-06-10 00:00:00,1.1823,1.1869,1.1506,1.1561,1.16875,1.14723,1.11278,1.04736,1.14919,1.11544,1.04974
2003-06-17 00:00:00,1.1555,1.1626,1.1397,1.1511,1.15115,1.15385,1.11625,1.05045,1.1536,1.11792,1.05243
2003-06-24 00:00:00,1.1526,1.1613,1.1313,1.1317,1.1463,1.15884,1.11976,1.05314,1.1577,1.12102,1.05497
2003-07-01 00:00:00,1.1316,1.1394,1.1243,1.1281,1.13185,1.16083,1.12255,1.05592,1.1582,1.123,1.05741
2003-07-08 00:00:00,1.1281,1.136,1.1112,1.1341,1.1236,1.15868,1.12487,1.05875,1.15548,1.12481,1.06002
2003-07-15 00:00:00,1.1345,1.1553,1.1307,1.1488,1.143,1.15742,1.12743,1.06217,1.15611,1.12817,1.06375
2003-07-22 00:00:00,1.1488,1.1542,1.1133,1.1356,1.13375,1.15335,1.12968,1.0652,1.15156,1.12987,1.06655
2003-07-29 00:00:00,1.1355,1.143,1.1263,1.1364,1.13465,1.14887,1.13304,1.06838,1.14759,1.13312,1.06968
2003-08-05 00:00:00,1.1361,1.1376,1.1125,1.1149,1.12505,1.14378,1.13556,1.07129,1.14208,1.13506,1.07234
2003-08-12 00:00:00,1.1147,1.1152,1.0836,1.0864,1.0994,1.13575,1.13674,1.0735,1.13245,1.13497,1.07401
2003-08-19 00:00:00,1.0858,1.1018,1.0792,1.0968,1.0905,1.12792,1.13758,1.07581,1.12452,1.13534,1.0761
2003-08-26 00:00:00,1.0968,1.114,1.0763,1.1069,1.09515,1.12233,1.13809,1.07823,1.11985,1.13605,1.07856
2003-09-02 00:00:00,1.1069,1.1327,1.1053,1.1288,1.119,1.11959,1.13922,1.08098,1.11954,1.13825,1.08172
2003-09-09 00:00:00,1.1285,1.1505,1.1138,1.1467,1.13215,1.11962,1.14023,1.08393,1.12076,1.13984,1.08488
2003-09-16 00:00:00,1.1465,1.1604,1.1395,1.1593,1.14995,1.12226,1.14047,1.08724,1.12477,1.14092,1.08847
